model	input_dtype	images	conf	resize	mAP50_95	mAP50	mAP75	detections
yolov8s	fp32	500	0.001	linear	0.47348	0.64524	0.51426	26619
yolov8s_u8	uint8	500	0.001	linear	0.47357	0.64483	0.51421	26642
